timestamp,code,name,price,change,change_pct,volume,open,high,low,prev_close
2026-02-09T01:40:33.743Z,2454,聯發科,NaN,NaN,NaN,3296,1760,1800,1760,1710
2026-02-09T01:40:34.263Z,2457,飛宏,NaN,NaN,NaN,1490,28.35,28.7,28,27.75
2026-02-09T01:40:34.775Z,2485,兆赫,NaN,NaN,NaN,24792,44.6,45.2,41.9,41.45
2026-02-09T01:40:35.290Z,3481,群創,NaN,NaN,NaN,102230,22.5,22.5,21.6,21.8
2026-02-09T01:40:35.836Z,5340,N/A,NaN,NaN,NaN,0,0,0,0,0
2026-02-09T01:40:36.353Z,5347,N/A,NaN,NaN,NaN,0,0,0,0,0
2026-02-09T01:40:36.884Z,5425,N/A,NaN,NaN,NaN,0,0,0,0,0
2026-02-09T01:40:37.406Z,6127,N/A,NaN,NaN,NaN,0,0,0,0,0
2026-02-09T01:40:37.919Z,6182,N/A,NaN,NaN,NaN,0,0,0,0,0
2026-02-09T01:40:38.447Z,6282,康舒,NaN,NaN,NaN,7422,48.5,48.75,47.45,46.85
2026-02-09T01:40:38.958Z,1303,南亞,77.2,3.700000000000003,5.034013605442181,33561,76.9,78.2,75.8,73.5
2026-02-09T01:40:39.470Z,1717,長興,NaN,NaN,NaN,5849,56.3,56.4,54.8,54.1
2026-02-09T01:40:39.980Z,1802,台玻,NaN,NaN,NaN,46764,49,49.4,45.35,47.6
2026-02-09T01:40:40.501Z,1809,中釉,NaN,NaN,NaN,717,24,24.05,23.2,23.5
2026-02-09T01:40:41.018Z,1815,N/A,NaN,NaN,NaN,0,0,0,0,0
2026-02-09T01:40:41.530Z,2059,川湖,NaN,NaN,NaN,173,3055,3055,2965,2955
2026-02-09T01:40:42.046Z,2303,聯電,NaN,NaN,NaN,64269,63.6,64.3,61.8,61.9
2026-02-09T01:40:42.558Z,2344,華邦電,NaN,NaN,NaN,58866,106,106,101,97.8
2026-02-09T01:40:43.073Z,2369,菱生,NaN,NaN,NaN,1612,25.6,25.8,25,24.6
2026-02-09T01:40:43.587Z,2371,大同,NaN,NaN,NaN,3483,37.25,37.25,36.45,36
